event_date,fighter1,fighter2,pass_stat_f1,pass_stat_f2,str_stat_f1,str_stat_f2,sub_stat_f1,sub_stat_f2,td_stat_f1,td_stat_f2,winner
April 07 1995,Jon Hess,Andy Anderson,0,0,17,2,0,0,0,0,Jon Hess
December 16 1995,Dan Severn,David Abbott,0,0,57,3,0,0,1,0,Dan Severn
December 16 1995,Oleg Taktarov,Dave Beneteau,0,0,0,2,2,0,0,0,Oleg Taktarov
December 16 1995,Marco Ruas,Keith Hackney,1,0,7,1,1,0,1,0,Marco Ruas
December 16 1995,Dan Severn,Paul Varelans,1,0,0,1,2,0,1,0,Dan Severn
December 16 1995,David Abbott,Steve Jennum,1,0,1,0,1,0,1,0,David Abbott
February 16 1996,Don Frye,Gary Goodridge,1,0,12,2,0,0,0,1,Don Frye
February 16 1996,Ken Shamrock,Kimo Leopoldo,2,1,0,4,2,0,1,0,Ken Shamrock
February 16 1996,Gary Goodridge,Jerry Bohlander,1,2,3,1,1,0,1,0,Gary Goodridge
February 16 1996,Don Frye,Sam Adkins,1,0,5,0,0,0,1,0,Don Frye
February 16 1996,Gary Goodridge,Paul Herrera,0,0,8,0,0,0,1,0,Gary Goodridge
February 16 1996,Jerry Bohlander,Scott Ferrozzo,0,0,7,9,1,1,0,2,Jerry Bohlander
February 16 1996,Paul Varelans,Joe Moreira,0,0,9,12,0,0,0,0,Paul Varelans
February 16 1996,Don Frye,Thomas Ramirez,0,0,3,1,0,0,0,0,Don Frye
May 17 1996,Dan Severn,Ken Shamrock,0,1,16,18,0,0,0,0,Dan Severn
May 17 1996,Don Frye,Amaury Bitetti,2,0,46,2,0,0,1,0,Don Frye
May 17 1996,Mark Hall,Koji Kitao,0,1,3,1,0,0,0,1,Mark Hall
May 17 1996,Mark Schultz,Gary Goodridge,5,0,8,1,0,0,3,0,Mark Schultz
May 17 1996,Rafael Carino,Matt Andersen,3,0,8,0,0,0,1,0,Rafael Carino
May 17 1996,Cal Worsham,Zane Frazier,1,0,9,1,0,0,1,0,Cal Worsham
May 17 1996,Steve Nelmark,Tai Bowden,4,0,13,4,1,0,2,0,Steve Nelmark
September 20 1996,Scott Ferrozzo,David Abbott,0,0,60,21,0,0,0,0,Scott Ferrozzo
September 20 1996,Mark Coleman,Brian Johnston,1,0,9,3,0,0,1,0,Mark Coleman
September 20 1996,Jerry Bohlander,Fabio Gurgel,0,1,18,2,0,1,1,1,Jerry Bohlander
September 20 1996,David Abbott,Sam Adkins,1,0,8,0,1,0,1,0,David Abbott
September 20 1996,Brian Johnston,Reza Nasri,2,0,6,0,0,0,1,0,Brian Johnston
September 20 1996,Mark Coleman,Julian Sanchez,0,0,7,0,2,0,1,0,Mark Coleman
July 12 1996,Mark Coleman,Don Frye,6,0,34,1,2,0,3,0,Mark Coleman
July 12 1996,Mark Coleman,Gary Goodridge,2,0,33,3,0,0,2,0,Mark Coleman
July 12 1996,Don Frye,Brian Johnston,2,1,11,11,0,0,1,0,Don Frye
February 07 1997,Mark Coleman,Dan Severn,1,0,4,2,2,0,0,0,Mark Coleman
July 12 1996,Gary Goodridge,John Campetella,1,0,5,5,0,0,0,0,Gary Goodridge
July 12 1996,Mark Coleman,Moti Horenstein,1,0,25,0,0,0,1,0,Mark Coleman
February 07 1997,Vitor Belfort,Scott Ferrozzo,0,0,9,0,0,0,0,0,Vitor Belfort
February 07 1997,Jerry Bohlander,Nick Sanzo,0,0,2,0,1,0,1,0,Jerry Bohlander
February 07 1997,Vitor Belfort,Tra Telligman,1,0,17,1,0,0,0,0,Vitor Belfort
July 12 1996,Brian Johnston,Scott Fiedler,2,1,2,3,1,0,1,0,Brian Johnston
July 12 1996,Don Frye,Mark Hall,2,0,27,2,0,0,1,0,Don Frye
December 07 1996,Don Frye,David Abbott,1,0,6,13,2,0,0,0,Don Frye
December 07 1996,David Abbott,Steve Nelmark,1,0,9,2,0,0,1,0,David Abbott
December 07 1996,Don Frye,Mark Hall,0,0,0,0,1,0,0,0,Don Frye
February 07 1997,Scott Ferrozzo,Jim Mullen,1,0,30,3,1,0,2,0,Scott Ferrozzo
February 07 1997,Yoshiki Takahashi,Wallid Ismail,0,0,20,1,0,0,1,1,Yoshiki Takahashi
February 07 1997,Jerry Bohlander,Rainy Martinez,4,0,0,0,1,0,1,0,Jerry Bohlander
December 07 1996,Ken Shamrock,Brian Johnston,0,0,22,1,1,0,1,0,Ken Shamrock
December 07 1996,Kimo Leopoldo,Paul Varelans,0,1,9,21,0,0,0,0,Kimo Leopoldo
December 07 1996,David Abbott,Cal Worsham,1,0,4,5,1,0,0,0,David Abbott
December 07 1996,Don Frye,Gary Goodridge,0,1,16,14,0,0,0,1,Don Frye
May 30 1997,Vitor Belfort,David Abbott,0,0,15,2,0,0,1,0,Vitor Belfort
May 30 1997,Randy Couture,Steven Graham,4,0,16,0,0,0,1,0,Randy Couture
May 30 1997,Guy Mezger,Tito Ortiz,0,0,0,5,1,0,0,1,Guy Mezger
May 30 1997,Randy Couture,Tony Halme,2,0,1,0,1,0,1,0,Randy Couture
May 30 1997,Steven Graham,Dmitri Stepanov,2,0,0,1,1,0,1,0,Steven Graham
May 30 1997,Enson Inoue,Royce Alger,0,1,0,3,1,0,0,0,Enson Inoue
May 30 1997,Guy Mezger,Christophe Leninger,3,0,35,3,0,1,0,0,Guy Mezger
May 30 1997,Jack Nilson,Saeed Hosseini,3,0,11,1,0,1,0,0,Jack Nilson
May 30 1997,Tito Ortiz,Wes Albritton,1,0,21,0,0,0,1,0,Tito Ortiz
July 27 1997,Maurice Smith,Mark Coleman,0,9,55,19,0,2,0,2,Maurice Smith
July 27 1997,Mark Kerr,Dan Bobish,1,0,3,0,0,0,1,0,Mark Kerr
July 27 1997,Kevin Jackson,Tony Fryklund,1,0,2,0,1,0,1,0,Kevin Jackson
July 27 1997,Dan Bobish,Brian Johnston,1,0,9,6,1,0,1,0,Dan Bobish
July 27 1997,Mark Kerr,Moti Horenstein,1,0,14,1,0,0,1,0,Mark Kerr
July 27 1997,Kevin Jackson,Todd Butler,1,0,3,1,0,0,1,0,Kevin Jackson
July 27 1997,Joe Moreira,Yuri Vaulin,7,0,7,1,0,0,3,0,Joe Moreira
July 27 1997,Alex Hunter,Sam Fulton,3,0,7,1,0,0,1,0,Alex Hunter
July 27 1997,Tony Fryklund,Donnie Chappell,2,0,5,0,1,0,1,0,Tony Fryklund
October 17 1997,Maurice Smith,David Abbott,0,3,12,5,1,0,0,0,Maurice Smith
October 17 1997,Mark Kerr,Dwayne Cason,3,0,5,0,1,0,1,0,Mark Kerr
October 17 1997,Randy Couture,Vitor Belfort,2,0,34,6,1,0,1,0,Randy Couture
October 17 1997,Dave Beneteau,Carlos Barreto,0,1,13,11,0,0,3,2,Dave Beneteau
October 17 1997,Mark Kerr,Greg Stott,0,0,1,0,0,0,0,0,Mark Kerr
October 17 1997,Dwayne Cason,Houston Dorr,0,0,11,1,0,0,1,0,Dwayne Cason
October 17 1997,Alex Hunter,Harry Moskowitz,3,0,11,12,0,4,1,1,Alex Hunter
December 21 1997,Randy Couture,Maurice Smith,7,0,19,9,1,0,3,0,Randy Couture
December 21 1997,Kazushi Sakuraba,Marcus Silveira,1,0,1,1,2,1,1,1,Kazushi Sakuraba
December 21 1997,Vitor Belfort,Joe Charles,5,0,0,1,3,0,2,0,Vitor Belfort
December 21 1997,Frank Shamrock,Kevin Jackson,0,0,1,2,1,0,0,1,Frank Shamrock
December 21 1997,Kazushi Sakuraba,Marcus Silveira,0,0,0,4,0,1,0,1,Kazushi Sakuraba
